UserID,Income,HousingExpense,TransportationExpense,FoodExpense,UtilitiesExpense,EntertainmentExpense,Savings,HousingBudget,TransportationBudget,FoodBudget,UtilitiesBudget,EntertainmentBudget,SavingsBudget
1,10993,2199,364,2046,827,415,442,34.94358811377721,5.784204671857619,32.51231527093596,13.141585889083107,6.594628952804705,7.023677101541395
2,9723,1962,471,2569,993,409,684,27.68058690744921,6.645033860045146,36.24435665914221,14.00959367945824,5.770316027088036,9.650112866817155
3,11295,1529,341,2793,1003,140,528,24.139564256394063,5.383643826965582,44.09535838332807,15.835175244711083,2.2102936532996527,8.335964635301547
4,13046,1176,438,3943,1094,433,726,15.057618437900128,5.608194622,50.4865557,14.007682458386682,5.5441741357234315,9.295774647887324
5,9531,1849,121,3278,726,646,892,24.61395101171459,1.6107561235356762,43.63684771033014,9.664536741214057,8.599574014909479,11.87433439829606
6,9531,1696,542,2332,1118,245,1418,23.07169092640457,7.3731465106788185,31.723575023806283,15.208815127193578,3.332879880288396,19.28989253162835
7,13158,1947,500,3243,459,709,839,25.295569702481487,6.496037417175522,42.13329868780044,5.963362349,9.211381057554892,10.900350786020528
8,11534,1817,336,2226,874,597,207,29.99834901766551,5.547300644,36.75086676572561,14.429585603434042,9.856364536899456,3.4175334323922733
9,9061,2024,631,3541,902,353,1570,22.43653696929387,6.994789934597051,39.25285445072608,9.998891475,3.913091674980601,17.403835494956212
10,11085,1232,687,2764,1126,471,581,17.956566098236408,10.013117621337997,40.285672642471944,16.411601807316718,6.864888500218627,8.468153330418305
11,9073,2158,178,2953,1004,819,970,26.70131155654541,2.202425142291512,36.53798564711705,12.422667656520662,10.133630289532295,12.00197970799307
12,9068,1598,347,3662,718,646,1223,19.502074688796682,4.234805955577252,44.691237490846966,8.762509153038808,7.883817427385892,14.925555284354406
13,10483,2537,346,2356,803,501,1099,33.19811567652447,4.527610573,30.82962575242083,10.507720492017796,6.555875425,14.381052080607171
14,6173,1155,312,2301,1039,452,1547,16.97032030561269,4.584190420217455,33.80840434910373,15.265941816044668,6.641198942109903,22.729944166911547
15,6550,2367,665,2708,984,515,1239,27.919320594479828,7.8438310922387355,31.94149563576315,11.606510969568294,6.074545883463081,14.61429582448691
16,8875,1598,461,3519,884,397,569,21.513193322563275,6.206246634356489,47.37479806138934,11.900915455035003,5.344641895530425,7.660204631125471
17,7974,1174,447,2240,903,79,2089,16.93594922100404,6.448355452971725,32.31390652048471,13.026543566070398,1.1396422388920946,30.13560300057703
18,10628,1258,99,1583,1139,908,1097,20.677186061801446,1.6272189349112427,26.01906640368179,18.721236028928338,14.92439184746877,18.030900723208415
19,8183,1339,627,2774,896,531,926,18.877766812350206,8.839701113774144,39.10898068518257,12.63217256450021,7.486254053291979,13.055124770900889
20,7175,1712,252,3275,982,579,1481,20.67383166284265,3.043110735418428,39.54836372,11.85847119913054,6.991909189711388,17.884313488709093
21,12931,1761,511,3600,1433,488,1124,19.74879443759112,5.7306268924526185,40.372322529998875,16.070427273746777,5.47269261,12.605136256588539
22,9548,1213,555,2768,715,352,1199,17.83299029697148,8.159364892678624,40.69391355483681,10.511614231108497,5.174948544545722,17.627168479858867
23,10135,1487,772,2794,629,462,2246,17.72348033373063,9.201430274135875,33.30154946,7.497020262216925,5.506555423122765,26.769964243146603
24,7150,2571,238,3576,1156,180,862,29.954561342188047,2.7729232203192358,41.66375393219155,13.468484212979146,2.097168822090178,10.043108470231854
25,8911,2363,-103,2065,864,955,841,33.82963493199714,-1.474588404,29.563350035790982,12.369362920544024,13.672154617036506,12.040085898353615
26,10221,1718,536,2805,936,253,1058,23.51491924445661,7.336435806186696,38.393101560361345,12.811387900355871,3.4629071995620033,14.48124828907747
27,7698,1519,860,3095,843,293,1535,18.649478207489256,10.558624923265807,37.99877225,10.349907918968693,3.5972989564149787,18.845917740945364
28,10751,1560,747,3224,948,411,246,21.86098655,10.46804932735426,45.17937219730942,13.284753363228699,5.759529147982063,3.447309417040359
29,8798,1806,541,2745,1319,757,17,25.135699373695196,7.529575504523313,38.20459290187891,18.35768963117606,10.535838552540014,0.23660403618649967
